Alenia-Sukhoi	Company
Superjet	Family
100	Model
	Other Name
Crew	
108	npax max full economy
2	n piloti
	n ass. volo
Weights:	
46055	Ramp (kg)
45880	Max. take-off (kg)
41000	Max. landing (kg)
40000	Zero-fuel
12245	Max. payload    (Pto A)
	payload @ Max. fuel (Pto B)
	Max. fuel weight    (Pto B)
	Design payload      (Pto D)
	Design fuel load    (Pto D)
27755	Operational empty
	Minimum Weight
	Empty Mass (kg)
Fuel_(litres)	
Usable(Lt)
15805	Wing
0	CT
0	RCT
0	ACTs
Unusable(Lt)
	Total
DIMENSIONS	
29.84	Length (m)
	Height (m)
	Width (m)
	Finess Ratio
Fuselage Volumes  (m^3)	
	Non equipped
	Passengers Compartment
	Cockpit
Cargo Compartment	
	FWD
	ADR
	BULK
Wing:	
	Root Chord (m)
	Exp Root Chord (m)
	Kink Chord (m)
	Tip. Chord (m)
	x Leading Edge c_exp (m)
	x Leading Edge kink(m)
	x Leading Edge tip (m)
	Y kink (m)
27.8	Span (m)
	Area (m²)
	L.E. Sweep (º)
	Chord 1/4 Sweep (º)
	Dihedral (°)
	Aspect Ratio
	Taper Ratio
	(t/c)_root
	(t/c)_kink
	(t/c)_tip
	Average (t/c) %
	MAC (m)
Horizontal:	
	Root Chord (m)
	Exp Root Chord (m)
	Kink Chord (m)
	Tip. Chord (m)
	x Leading Edge c_exp (m)
	x Leading Edge kink(m)
	x Leading Edge tip (m)
	Y Exp. Root (m)
	Y kink (m)
	Span (m)
	Area (m²)
	L.E. Sweep (º)
	Chord 1/4 Sweep (º)
	Dihedral (°)
	Aspect Ratio
	Taper Ratio
	(t/c)_root
	(t/c)_kink
	(t/c)_tip
	Average (t/c) %
	MAC (m)
	Arm (m)
	Sh/S
	ShLh/Sc
	Elevator Chord (m)
	ce/c
Vertical:	
	Root Chord (m)
	Exp Root Chord (m)
	Kink Chord (m)
	Tip. Chord (m)
	x Leading Edge c_exp (m)
	x Leading Edge kink(m)
	x Leading Edge tip (m)
	Y Exp. Root (m)
	Y kink (m)
	Span (m)
	Area (m²)
	L.E. Sweep (º)
	Chord 1/4 Sweep (º)
	Dihedral (°)
	Aspect Ratio
	Taper Ratio
	(t/c)_root
	(t/c)_kink
	(t/c)_tip
	Average (t/c) %
	MAC (m)
	Arm (m)
	Sv/S
	SvLv/Sb
	Rudder  Chord (m)
	cr/c
Undercarriage:	
	Track (m)
	Wheelbase (m)
	Turning radius (m)
	Main Wheel diameter (m)
	Main Wheel width (m)
	"No. of wheels (nose;main)"
Nacelle:	
4.276	Length (m)
2.05	Max. width (m)
1.714	Max. height (m)
2	n
	x_pos (m)
	Spanwise location
Performances:	
Take-Off	
2280	ISA sea level (m)
2400	ISA +15ºC SL.
2800	ISA 5000ft
2880	ISA +15ºC 5000ft
157	V2 (kts) (IAS)
Landing	
2090.5	ISA sea level (m)
	ISA +15ºC SL.
	ISA 5000ft
	ISA +15ºC 5000ft
144	Vapp (kts) (IAS)
Cruise	
	V (kts) (TAS)
	M
	h cruise (ft)
	e
	Cd0
Range	
	Max. payload
	Design range
	Max. fuel (+ payload)
	Ferry range
ROCs	
-1	h_1 (ft)
-1	RC_1 (ft/min)

Thrust	
71100	Static Thrust (N)
	Max Continous (N)
	TSFC
